onset	duration	stim_file	stim_lable	level of occlusion	stim_started	stim_stopped	key_time	key_fix
329.511	4	Aircraft1_10%_1.jpg	0	0.1	329.511	333.247	330.258	0
333.56	4	Aircraft1_10%_47.jpg	0	0.1	333.56	337.295	334.19	0
337.614	4	Aircraft1_10%_40.jpg	0	0.1	337.614	341.346	338.21	0
341.662	4	Aircraft1_10%_27.jpg	0	0.1	341.662	345.392	342.197	0
345.674	4	Aircraft2_10%_35.jpg	1	0.1	345.674	349.41	346.423	1
349.68	4	rest.jpg	n/a	n/a	349.68	353.41	353.68	n/a
353.654	4	rest.jpg	n/a	n/a	353.654	357.385	357.654	n/a
357.635	4	rest.jpg	n/a	n/a	357.635	361.367	361.635	n/a
361.651	4	Aircraft1_90%_32.jpg	0	0.9	361.651	365.383	362.618	0
365.673	4	Aircraft1_90%_49.jpg	0	0.9	365.673	369.411	366.714	0
369.695	4	Aircraft2_90%_22.jpg	1	0.9	369.695	373.431	370.531	1
373.715	4	Aircraft1_90%_34.jpg	0	0.9	373.715	377.446	374.384	0
377.759	4	Aircraft1_90%_14.jpg	0	0.9	377.759	381.491	379.216	0
381.772	4	rest.jpg	n/a	n/a	381.772	385.503	385.772	n/a
385.75	4	rest.jpg	n/a	n/a	385.75	389.481	389.75	n/a
389.715	4	rest.jpg	n/a	n/a	389.715	393.444	393.715	n/a
393.763	4	Aircraft2_70%_24.jpg	1	0.75	393.763	397.493	394.629	1
397.809	4	Aircraft2_70%_2.jpg	1	0.75	397.809	401.545	399.282	1
401.832	4	Aircraft2_70%_43.jpg	1	0.75	401.832	405.564	402.822	1
405.846	4	Aircraft2_70%_46.jpg	1	0.75	405.846	409.577	406.649	1
409.864	4	Aircraft1_70%_42.jpg	0	0.75	409.864	413.596	410.749	0
413.884	4	rest.jpg	n/a	n/a	413.884	417.62	417.884	n/a
417.854	4	rest.jpg	n/a	n/a	417.854	421.584	421.854	n/a
421.835	4	rest.jpg	n/a	n/a	421.835	425.571	425.835	n/a
425.855	4	Aircraft2_10%_30.jpg	1	0.1	425.855	429.585	426.666	1
429.912	4	Aircraft2_10%_27.jpg	1	0.1	429.912	433.649	430.525	1
433.986	4	Aircraft2_10%_50.jpg	1	0.1	433.986	437.723	434.657	1
438.037	4	Aircraft2_10%_29.jpg	1	0.1	438.037	441.775	438.69	1
442.104	4	Aircraft1_10%_6.jpg	0	0.1	442.104	445.841	442.778	0
446.125	4	rest.jpg	n/a	n/a	446.125	449.858	450.125	n/a
450.109	4	rest.jpg	n/a	n/a	450.109	453.845	454.109	n/a
454.093	4	rest.jpg	n/a	n/a	454.093	457.834	458.093	n/a
458.151	4	Aircraft2_90%_18.jpg	1	0.9	458.151	461.883	459.344	1
462.182	4	Aircraft1_90%_29.jpg	0	0.9	462.182	465.916	463.247	0
466.249	4	Aircraft2_90%_1.jpg	1	0.9	466.249	469.982	467.383	1
470.267	4	Aircraft1_90%_26.jpg	0	0.9	470.267	473.998	471.003	0
474.272	4	Aircraft2_90%_34.jpg	1	0.9	474.272	478.011	476.951	1
478.301	4	rest.jpg	n/a	n/a	478.301	482.036	482.301	n/a
482.285	4	rest.jpg	n/a	n/a	482.285	486.017	486.285	n/a
486.251	4	rest.jpg	n/a	n/a	486.251	489.981	490.251	n/a
490.297	4	Aircraft1_70%_17.jpg	0	0.75	490.297	494.035	491.052	0
494.355	4	Aircraft2_70%_42.jpg	1	0.75	494.355	498.085	495.261	1
498.406	4	Aircraft2_70%_44.jpg	1	0.75	498.406	502.136	499.57	1
502.459	4	Aircraft1_70%_10.jpg	0	0.75	502.459	506.195	503.196	0
506.524	4	Aircraft2_70%_25.jpg	1	0.75	506.524	510.259	507.309	1
510.547	4	rest.jpg	n/a	n/a	510.547	514.278	514.547	n/a
514.512	4	rest.jpg	n/a	n/a	514.512	518.242	518.512	n/a
518.476	4	rest.jpg	n/a	n/a	518.476	522.206	522.476	n/a
522.503	4	Aircraft1_10%_38.jpg	0	0.1	522.503	526.233	523.182	0
526.522	4	Aircraft2_10%_21.jpg	1	0.1	526.522	530.258	527.166	1
530.578	4	Aircraft1_10%_16.jpg	0	0.1	530.578	534.308	531.102	0
534.64	4	Aircraft1_10%_46.jpg	0	0.1	534.64	538.37	535.244	0
538.67	4	Aircraft2_10%_40.jpg	1	0.1	538.67	542.4	539.387	1
542.684	4	rest.jpg	n/a	n/a	542.684	546.421	546.684	n/a
546.654	4	rest.jpg	n/a	n/a	546.654	550.387	550.654	n/a
550.621	4	rest.jpg	n/a	n/a	550.621	554.351	554.621	n/a
554.628	4	Aircraft2_90%_4.jpg	1	0.9	554.628	558.363	556.293	1
558.674	4	Aircraft1_90%_43.jpg	0	0.9	558.674	562.408	559.492	0
562.69	4	Aircraft1_90%_9.jpg	0	0.9	562.69	566.427	563.695	0
566.707	4	Aircraft1_90%_11.jpg	0	0.9	566.707	570.44	567.719	0
570.709	4	Aircraft1_90%_50.jpg	0	0.9	570.709	574.439	572.343	0
574.71	4	rest.jpg	n/a	n/a	574.71	578.445	578.71	n/a
578.694	4	rest.jpg	n/a	n/a	578.694	582.427	582.694	n/a
582.68	4	rest.jpg	n/a	n/a	582.68	586.412	586.68	n/a
586.701	4	Aircraft1_70%_12.jpg	0	0.75	586.701	590.433	587.777	0
590.743	4	Aircraft2_70%_32.jpg	1	0.75	590.743	594.472	591.576	1
594.787	4	Aircraft2_70%_48.jpg	1	0.75	594.787	598.517	596.73	1
598.839	4	Aircraft1_70%_19.jpg	0	0.75	598.839	602.572	599.59	0
602.856	4	Aircraft1_70%_33.jpg	0	0.75	602.856	606.591	603.721	0
606.877	4	rest.jpg	n/a	n/a	606.877	610.607	610.877	n/a
610.841	4	rest.jpg	n/a	n/a	610.841	614.571	614.841	n/a
614.822	4	rest.jpg	n/a	n/a	614.822	618.555	618.822	n/a
618.841	4	Aircraft2_10%_23.jpg	1	0.1	618.841	622.578	619.708	1
622.899	4	Aircraft1_10%_28.jpg	0	0.1	622.899	626.632	623.551	0
626.954	4	Aircraft2_10%_13.jpg	1	0.1	626.954	630.683	627.595	1
630.997	4	Aircraft1_10%_45.jpg	0	0.1	630.997	634.727	631.568	0
635.011	4	Aircraft1_10%_37.jpg	0	0.1	635.011	638.741	635.729	0
639.03	4	rest.jpg	n/a	n/a	639.03	642.76	643.03	n/a
642.996	4	rest.jpg	n/a	n/a	642.996	646.732	646.996	n/a
646.981	4	rest.jpg	n/a	n/a	646.981	650.711	650.981	n/a
651.03	4	Aircraft2_90%_33.jpg	1	0.9	651.03	654.763	652.629	1
655.079	4	Aircraft2_90%_38.jpg	1	0.9	655.079	658.812	658.656	1
659.089	4	Aircraft1_90%_30.jpg	0	0.9	659.089	662.82	660.111	0
663.126	4	Aircraft1_90%_41.jpg	0	0.9	663.126	666.859	663.983	0
667.176	4	Aircraft1_90%_18.jpg	0	0.9	667.176	670.909	668.143	0
671.196	4	rest.jpg	n/a	n/a	671.196	674.93	675.196	n/a
675.178	4	rest.jpg	n/a	n/a	675.178	678.914	679.178	n/a
679.165	4	rest.jpg	n/a	n/a	679.165	682.896	683.165	n/a
683.186	4	Aircraft2_70%_9.jpg	1	0.75	683.186	686.917	684.082	1
687.225	4	Aircraft2_70%_6.jpg	1	0.75	687.225	690.961	687.891	1
691.288	4	Aircraft1_70%_23.jpg	0	0.75	691.288	695.023	692.269	0
695.297	4	Aircraft1_70%_21.jpg	0	0.75	695.297	699.026	695.92	0
699.34	4	Aircraft2_70%_36.jpg	1	0.75	699.34	703.071	700.119	1
703.356	4	rest.jpg	n/a	n/a	703.356	707.088	707.356	n/a
707.322	4	rest.jpg	n/a	n/a	707.322	711.052	711.322	n/a
711.299	4	rest.jpg	n/a	n/a	711.299	715.036	715.299	n/a
715.317	4	Aircraft2_10%_41.jpg	1	0.1	715.317	719.047	716.099	1
719.336	4	Aircraft1_10%_22.jpg	0	0.1	719.336	723.066	720.052	0
723.355	4	Aircraft1_10%_44.jpg	0	0.1	723.355	727.091	723.958	0
727.36	4	Aircraft1_10%_1.jpg	0	0.1	727.36	731.091	727.937	0
731.412	4	Aircraft2_10%_37.jpg	1	0.1	731.412	735.145	732.062	1
735.423	4	rest.jpg	n/a	n/a	735.423	739.16	739.423	n/a
739.392	4	rest.jpg	n/a	n/a	739.392	743.124	743.392	n/a
743.37	4	rest.jpg	n/a	n/a	743.37	747.106	747.37	n/a
747.421	4	Aircraft2_90%_31.jpg	1	0.9	747.421	751.153	748.819	1
751.469	4	Aircraft1_90%_4.jpg	0	0.9	751.469	755.2	752.549	0
755.486	4	Aircraft2_90%_20.jpg	1	0.9	755.486	759.218	756.232	1
759.538	4	Aircraft1_90%_7.jpg	0	0.9	759.538	763.268	761.94	0
763.572	4	Aircraft1_90%_8.jpg	0	0.9	763.572	767.309	766.938	0
767.589	4	rest.jpg	n/a	n/a	767.589	771.321	771.589	n/a
771.568	4	rest.jpg	n/a	n/a	771.568	775.303	775.568	n/a
775.536	4	rest.jpg	n/a	n/a	775.536	779.271	779.536	n/a
779.582	4	Aircraft2_70%_14.jpg	1	0.75	779.582	783.318	780.635	1
783.608	4	Aircraft2_70%_5.jpg	1	0.75	783.608	787.344	784.35	1
787.628	4	Aircraft2_70%_15.jpg	1	0.75	787.628	791.359	788.386	1
791.649	4	Aircraft2_70%_19.jpg	1	0.75	791.649	795.382	792.494	1
795.667	4	Aircraft1_70%_31.jpg	0	0.75	795.667	799.401	796.323	0
799.684	4	rest.jpg	n/a	n/a	799.684	803.416	803.684	n/a
803.65	4	rest.jpg	n/a	n/a	803.65	807.38	807.65	n/a
807.612	4	rest.jpg	n/a	n/a	807.612	811.344	811.612	n/a
811.658	4	Aircraft2_10%_9.jpg	1	0.1	811.658	815.393	812.472	1
815.715	4	Aircraft2_10%_6.jpg	1	0.1	815.715	819.452	816.308	1
819.743	4	Aircraft1_10%_23.jpg	0	0.1	819.743	823.473	820.347	0
823.761	4	Aircraft1_10%_21.jpg	0	0.1	823.761	827.497	824.443	0
827.821	4	Aircraft2_10%_36.jpg	1	0.1	827.821	831.551	828.458	1
831.841	4	rest.jpg	n/a	n/a	831.841	835.571	835.841	n/a
835.819	4	rest.jpg	n/a	n/a	835.819	839.554	839.819	n/a
839.805	4	rest.jpg	n/a	n/a	839.805	843.537	843.805	n/a
843.818	4	Aircraft2_90%_24.jpg	1	0.9	843.818	847.555	844.615	1
847.845	4	Aircraft2_90%_2.jpg	1	0.9	847.845	851.581	850.135	1
851.861	4	Aircraft2_90%_43.jpg	1	0.9	851.861	855.598	855.861	1
855.907	4	Aircraft2_90%_46.jpg	1	0.9	855.907	859.637	857.266	1
859.919	4	Aircraft1_90%_42.jpg	0	0.9	859.919	863.656	860.724	0
863.942	4	rest.jpg	n/a	n/a	863.942	867.678	867.942	n/a
867.91	4	rest.jpg	n/a	n/a	867.91	871.641	871.91	n/a
871.886	4	rest.jpg	n/a	n/a	871.886	875.619	875.886	n/a
875.957	4	Aircraft1_70%_3.jpg	0	0.75	875.957	879.692	876.775	0
880.012	4	Aircraft2_70%_28.jpg	1	0.75	880.012	883.748	880.988	1
884.051	4	Aircraft1_70%_24.jpg	0	0.75	884.051	887.783	884.679	0
888.079	4	Aircraft2_70%_39.jpg	1	0.75	888.079	891.813	888.829	1
892.124	4	Aircraft2_70%_8.jpg	1	0.75	892.124	895.861	892.884	1
896.157	4	rest.jpg	n/a	n/a	896.157	899.889	900.157	n/a
900.146	4	rest.jpg	n/a	n/a	900.146	903.878	904.146	n/a
904.115	4	rest.jpg	n/a	n/a	904.115	907.849	908.115	n/a
908.172	4	Aircraft1_10%_12.jpg	0	0.1	908.172	911.906	908.93	0
912.239	4	Aircraft2_10%_32.jpg	1	0.1	912.239	915.976	912.853	1
916.27	4	Aircraft2_10%_48.jpg	1	0.1	916.27	920.004	916.968	1
920.314	4	Aircraft1_10%_19.jpg	0	0.1	920.314	924.048	921.011	0
924.36	4	Aircraft1_10%_33.jpg	0	0.1	924.36	928.09	925.014	0
928.36	4	rest.jpg	n/a	n/a	928.36	932.09	932.36	n/a
932.337	4	rest.jpg	n/a	n/a	932.337	936.072	936.337	n/a
936.322	4	rest.jpg	n/a	n/a	936.322	940.058	940.322	n/a
940.379	4	Aircraft1_90%_17.jpg	0	0.9	940.379	944.115	941.221	0s
944.429	4	Aircraft2_90%_42.jpg	1	0.9	944.429	948.165	945.424	1
948.457	4	Aircraft2_90%_44.jpg	1	0.9	948.457	952.19	949.361	1
952.497	4	Aircraft1_90%_10.jpg	0	0.9	952.497	956.234	953.144	0
956.551	4	Aircraft2_90%_25.jpg	1	0.9	956.551	960.284	957.333	1
960.569	4	rest.jpg	n/a	n/a	960.569	964.301	964.569	n/a
964.55	4	rest.jpg	n/a	n/a	964.55	968.28	968.55	n/a
968.53	4	rest.jpg	n/a	n/a	968.53	972.262	972.53	n/a
972.567	4	Aircraft1_70%_25.jpg	0	0.75	972.567	976.297	973.243	0
976.617	4	Aircraft2_70%_49.jpg	1	0.75	976.617	980.353	978.197	1
980.666	4	Aircraft2_70%_10.jpg	1	0.75	980.666	984.396	981.476	1
984.735	4	Aircraft2_70%_12.jpg	1	0.75	984.735	988.467	985.507	1
988.789	4	Aircraft2_70%_7.jpg	1	0.75	988.789	992.519	989.902	1
992.804	4	rest.jpg	n/a	n/a	992.804	996.534	996.804	n/a
996.785	4	rest.jpg	n/a	n/a	996.785	1000.52	1000.785	n/a
1000.766	4	rest.jpg	n/a	n/a	1000.766	1004.495	1004.766	n/a
