onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix	key_fix_1
340.315	4	Aircraft1_10%_27.jpg	0	0.1	340.315	344.047	342.401	0	0
344.332	4	Aircraft2_10%_35.jpg	1	0.1	344.332	348.069	345.697	1	1
348.34	4	rest.jpg	NaN	NaN	348.34	352.077	352.34	NaN	NaN
352.311	4	rest.jpg	NaN	NaN	352.311	356.045	356.311	NaN	NaN
356.294	4	rest.jpg	NaN	NaN	356.294	360.029	360.294	NaN	NaN
360.297	4	Aircraft1_90%_32.jpg	0	0.9	360.297	364.027	363.185	0	0
364.294	4	Aircraft1_90%_49.jpg	0	0.9	364.294	368.029	368.294	0	0
368.315	4	Aircraft2_90%_22.jpg	1	0.9	368.315	372.047	368.513	1	1
372.329	4	Aircraft1_90%_34.jpg	0	0.9	372.329	376.066	374.808	0	0
376.351	4	Aircraft1_90%_14.jpg	0	0.9	376.351	380.08	379.224	0	0
380.363	4	rest.jpg	NaN	NaN	380.363	384.102	384.363	NaN	NaN
384.35	4	rest.jpg	NaN	NaN	384.35	388.082	388.35	NaN	NaN
388.326	4	rest.jpg	NaN	NaN	388.326	392.062	392.326	NaN	NaN
392.33	4	Aircraft2_70%_24.jpg	1	0.75	392.33	396.066	394.361	1	1
396.335	4	Aircraft2_70%_2.jpg	1	0.75	396.335	400.065	398.488	1	1
400.337	4	Aircraft2_70%_43.jpg	1	0.75	400.337	404.072	402.412	1	1
404.353	4	Aircraft2_70%_46.jpg	1	0.75	404.353	408.089	406.939	1	1
408.377	4	Aircraft1_70%_42.jpg	0	0.75	408.377	412.111	410.604	0	0
412.379	4	rest.jpg	NaN	NaN	412.379	416.117	416.379	NaN	NaN
416.368	4	rest.jpg	NaN	NaN	416.368	420.105	420.368	NaN	NaN
420.339	4	rest.jpg	NaN	NaN	420.339	424.075	424.339	NaN	NaN
424.35	4	Aircraft2_10%_30.jpg	1	0.1	424.35	428.083	426.435	1	1
428.352	4	Aircraft2_10%_27.jpg	1	0.1	428.352	432.085	429.445	1	1
432.374	4	Aircraft2_10%_50.jpg	1	0.1	432.374	436.108	433.261	1	1
436.394	4	Aircraft2_10%_29.jpg	1	0.1	436.394	440.131	437.012	1	1
440.419	4	Aircraft1_10%_6.jpg	0	0.1	440.419	444.155	441.662	0	0
444.44	4	rest.jpg	NaN	NaN	444.44	448.174	448.44	NaN	NaN
448.406	4	rest.jpg	NaN	NaN	448.406	452.141	452.406	NaN	NaN
452.387	4	rest.jpg	NaN	NaN	452.387	456.122	456.387	NaN	NaN
456.389	4	Aircraft2_90%_18.jpg	1	0.9	456.389	460.121	458.345	1	1
460.406	4	Aircraft1_90%_29.jpg	0	0.9	460.406	464.139	462.094	0	0
464.407	4	Aircraft2_90%_1.jpg	1	0.9	464.407	468.139	466.146	1	1
468.422	4	Aircraft1_90%_26.jpg	0	0.9	468.422	472.157	470.272	0	0
472.439	4	Aircraft2_90%_34.jpg	1	0.9	472.439	476.177	474.081	1	1
476.465	4	rest.jpg	NaN	NaN	476.465	480.202	480.465	NaN	NaN
480.449	4	rest.jpg	NaN	NaN	480.449	484.185	484.449	NaN	NaN
484.417	4	rest.jpg	NaN	NaN	484.417	488.149	488.417	NaN	NaN
488.438	4	Aircraft1_70%_17.jpg	0	0.75	488.438	492.168	490.504	0	0
492.457	4	Aircraft2_70%_42.jpg	1	0.75	492.457	496.189	494.812	1	1
496.461	4	Aircraft2_70%_44.jpg	1	0.75	496.461	500.192	498.535	1	1
500.479	4	Aircraft1_70%_10.jpg	0	0.75	500.479	504.214	502.167	0	0
504.504	4	Aircraft2_70%_25.jpg	1	0.75	504.504	508.234	506.232	1	1
508.52	4	rest.jpg	NaN	NaN	508.52	512.253	512.52	NaN	NaN
512.501	4	rest.jpg	NaN	NaN	512.501	516.232	516.501	NaN	NaN
516.465	4	rest.jpg	NaN	NaN	516.465	520.202	520.465	NaN	NaN
520.475	4	Aircraft1_10%_38.jpg	0	0.1	520.475	524.208	521.815	0	0
524.498	4	Aircraft2_10%_21.jpg	1	0.1	524.498	528.23	525.392	1	1
528.523	4	Aircraft1_10%_16.jpg	0	0.1	528.523	532.255	529.774	0	0
532.529	4	Aircraft1_10%_46.jpg	0	0.1	532.529	536.266	533.771	0	0
536.554	4	Aircraft2_10%_40.jpg	1	0.1	536.554	540.29	538.062	1	1
540.576	4	rest.jpg	NaN	NaN	540.576	544.311	544.576	NaN	NaN
544.558	4	rest.jpg	NaN	NaN	544.558	548.294	548.558	NaN	NaN
548.543	4	rest.jpg	NaN	NaN	548.543	552.273	552.543	NaN	NaN
552.556	4	Aircraft2_90%_4.jpg	1	0.9	552.556	556.288	554.149	1	1
556.564	4	Aircraft1_90%_43.jpg	0	0.9	556.564	560.3	558.121	0	0
560.566	4	Aircraft1_90%_9.jpg	0	0.9	560.566	564.296	562.663	0	0
564.563	4	Aircraft1_90%_11.jpg	0	0.9	564.563	568.293	567.153	0	0
568.576	4	Aircraft1_90%_50.jpg	0	0.9	568.576	572.309	571.864	0	0
572.579	4	rest.jpg	NaN	NaN	572.579	576.314	576.579	NaN	NaN
576.563	4	rest.jpg	NaN	NaN	576.563	580.295	580.563	NaN	NaN
580.547	4	rest.jpg	NaN	NaN	580.547	584.276	584.547	NaN	NaN
584.56	4	Aircraft1_70%_12.jpg	0	0.75	584.56	588.29	585.913	0	0
588.576	4	Aircraft2_70%_32.jpg	1	0.75	588.576	592.308	589.764	1	1
592.574	4	Aircraft2_70%_48.jpg	1	0.75	592.574	596.309	593.947	1	1
596.582	4	Aircraft1_70%_19.jpg	0	0.75	596.582	600.314	598.287	0	0
600.587	4	Aircraft1_70%_33.jpg	0	0.75	600.587	604.325	602.701	0	0
604.595	4	rest.jpg	NaN	NaN	604.595	608.332	608.595	NaN	NaN
608.566	4	rest.jpg	NaN	NaN	608.566	612.302	612.566	NaN	NaN
612.536	4	rest.jpg	NaN	NaN	612.536	616.273	616.536	NaN	NaN
616.564	4	Aircraft2_10%_23.jpg	1	0.1	616.564	620.299	618.864	1	1
620.585	4	Aircraft1_10%_28.jpg	0	0.1	620.585	624.315	621.46	0	0
624.603	4	Aircraft2_10%_13.jpg	1	0.1	624.603	628.338	625.515	1	1
628.624	4	Aircraft1_10%_45.jpg	0	0.1	628.624	632.357	629.636	0	0
632.649	4	Aircraft1_10%_37.jpg	0	0.1	632.649	636.381	633.713	0	0
636.666	4	rest.jpg	NaN	NaN	636.666	640.396	640.666	NaN	NaN
640.644	4	rest.jpg	NaN	NaN	640.644	644.381	644.644	NaN	NaN
644.631	4	rest.jpg	NaN	NaN	644.631	648.361	648.631	NaN	NaN
648.641	4	Aircraft2_90%_33.jpg	1	0.9	648.641	652.376	651.063	1	1
652.653	4	Aircraft2_90%_38.jpg	1	0.9	652.653	656.383	654.64	1	1
656.65	4	Aircraft1_90%_30.jpg	0	0.9	656.65	660.382	658.448	0	0
660.66	4	Aircraft1_90%_41.jpg	0	0.9	660.66	664.397	663.008	0	0
664.664	4	Aircraft1_90%_18.jpg	0	0.9	664.664	668.4	667.739	0	0
668.684	4	rest.jpg	NaN	NaN	668.684	672.422	672.684	NaN	NaN
672.656	4	rest.jpg	NaN	NaN	672.656	676.389	676.656	NaN	NaN
676.641	4	rest.jpg	NaN	NaN	676.641	680.371	680.641	NaN	NaN
680.644	4	Aircraft2_70%_9.jpg	1	0.75	680.644	684.374	682.171	1	1
684.644	4	Aircraft2_70%_6.jpg	1	0.75	684.644	688.374	685.788	1	1
688.659	4	Aircraft1_70%_23.jpg	0	0.75	688.659	692.389	691.021	0	0
692.66	4	Aircraft1_70%_21.jpg	0	0.75	692.66	696.39	693.934	0	0
696.666	4	Aircraft2_70%_36.jpg	1	0.75	696.666	700.396	698.687	1	1
700.68	4	rest.jpg	NaN	NaN	700.68	704.414	704.68	NaN	NaN
704.648	4	rest.jpg	NaN	NaN	704.648	708.38	708.648	NaN	NaN
708.628	4	rest.jpg	NaN	NaN	708.628	712.364	712.628	NaN	NaN
712.655	4	Aircraft2_10%_41.jpg	1	0.1	712.655	716.39	713.842	1	1
716.678	4	Aircraft1_10%_22.jpg	0	0.1	716.678	720.41	717.442	0	0
720.691	4	Aircraft1_10%_44.jpg	0	0.1	720.691	724.421	721.588	0	0
724.713	4	Aircraft1_10%_1.jpg	0	0.1	724.713	728.444	726.087	0	0
728.729	4	Aircraft2_10%_37.jpg	1	0.1	728.729	732.461	730.369	1	1
732.747	4	rest.jpg	NaN	NaN	732.747	736.479	736.747	NaN	NaN
736.728	4	rest.jpg	NaN	NaN	736.728	740.464	740.728	NaN	NaN
740.714	4	rest.jpg	NaN	NaN	740.714	744.444	744.714	NaN	NaN
744.724	4	Aircraft2_90%_31.jpg	1	0.9	744.724	748.454	746.43	1	1
748.721	4	Aircraft1_90%_4.jpg	0	0.9	748.721	752.457	751.407	0	0
752.738	4	Aircraft2_90%_20.jpg	1	0.9	752.738	756.47	755.199	1	1
756.747	4	Aircraft1_90%_7.jpg	0	0.9	756.747	760.482	760.059	0	0
760.765	4	Aircraft1_90%_8.jpg	0	0.9	760.765	764.496	762.703	0	0
764.783	4	rest.jpg	NaN	NaN	764.783	768.515	768.783	NaN	NaN
768.751	4	rest.jpg	NaN	NaN	768.751	772.486	772.751	NaN	NaN
772.733	4	rest.jpg	NaN	NaN	772.733	776.463	776.733	NaN	NaN
776.736	4	Aircraft2_70%_14.jpg	1	0.75	776.736	780.468	778.234	1	1
780.753	4	Aircraft2_70%_5.jpg	1	0.75	780.753	784.484	781.981	1	1
784.757	4	Aircraft2_70%_15.jpg	1	0.75	784.757	788.491	786.513	1	1
788.777	4	Aircraft2_70%_19.jpg	1	0.75	788.777	792.507	790.657	1	1
792.778	4	Aircraft1_70%_31.jpg	0	0.75	792.778	796.508	794.821	0	0
796.794	4	rest.jpg	NaN	NaN	796.794	800.529	800.794	NaN	NaN
800.78	4	rest.jpg	NaN	NaN	800.78	804.515	804.78	NaN	NaN
804.749	4	rest.jpg	NaN	NaN	804.749	808.481	808.749	NaN	NaN
808.771	4	Aircraft2_10%_9.jpg	1	0.1	808.771	812.507	809.778	1	1
812.79	4	Aircraft2_10%_6.jpg	1	0.1	812.79	816.52	814.07	1	1
816.795	4	Aircraft1_10%_23.jpg	0	0.1	816.795	820.527	818.091	0	0
820.82	4	Aircraft1_10%_21.jpg	0	0.1	820.82	824.551	821.657	0	0
824.839	4	Aircraft2_10%_36.jpg	1	0.1	824.839	828.569	825.766	1	1
828.859	4	rest.jpg	NaN	NaN	828.859	832.59	832.859	NaN	NaN
832.824	4	rest.jpg	NaN	NaN	832.824	836.556	836.824	NaN	NaN
836.806	4	rest.jpg	NaN	NaN	836.806	840.536	840.806	NaN	NaN
840.803	4	Aircraft2_90%_24.jpg	1	0.9	840.803	844.533	842.597	1	1
844.818	4	Aircraft2_90%_2.jpg	1	0.9	844.818	848.553	847.207	1	1
848.841	4	Aircraft2_90%_43.jpg	1	0.9	848.841	852.574	850.534	1	1
852.859	4	Aircraft2_90%_46.jpg	1	0.9	852.859	856.595	854.651	1	1
856.877	4	Aircraft1_90%_42.jpg	0	0.9	856.877	860.613	859.628	0	0
860.9	4	rest.jpg	NaN	NaN	860.9	864.635	864.9	NaN	NaN
864.884	4	rest.jpg	NaN	NaN	864.884	868.617	868.884	NaN	NaN
868.867	4	rest.jpg	NaN	NaN	868.867	872.604	872.867	NaN	NaN
872.878	4	Aircraft1_70%_3.jpg	0	0.75	872.878	876.608	874.322	0	0
876.898	4	Aircraft2_70%_28.jpg	1	0.75	876.898	880.628	878.345	1	1
880.918	4	Aircraft1_70%_24.jpg	0	0.75	880.918	884.653	882.518	0	0
884.926	4	Aircraft2_70%_39.jpg	1	0.75	884.926	888.656	886.207	1	1
888.952	4	Aircraft2_70%_8.jpg	1	0.75	888.952	892.683	890.116	1	1
892.951	4	rest.jpg	NaN	NaN	892.951	896.686	896.951	NaN	NaN
896.93	4	rest.jpg	NaN	NaN	896.93	900.667	900.93	NaN	NaN
900.93	4	rest.jpg	NaN	NaN	900.93	904.665	904.93	NaN	NaN
904.936	4	Aircraft1_10%_12.jpg	0	0.1	904.936	908.668	906.078	0	0
908.961	4	Aircraft2_10%_32.jpg	1	0.1	908.961	912.692	910.048	1	1
912.984	4	Aircraft2_10%_48.jpg	1	0.1	912.984	916.72	913.996	1	1
917.002	4	Aircraft1_10%_19.jpg	0	0.1	917.002	920.739	917.975	0	0
921.031	4	Aircraft1_10%_33.jpg	0	0.1	921.031	924.766	921.882	0	0
925.044	4	rest.jpg	NaN	NaN	925.044	928.774	929.044	NaN	NaN
929.006	4	rest.jpg	NaN	NaN	929.006	932.741	933.006	NaN	NaN
932.987	4	rest.jpg	NaN	NaN	932.987	936.722	936.987	NaN	NaN
937.005	4	Aircraft1_90%_17.jpg	0	0.9	937.005	940.735	938.902	0	0
941.01	4	Aircraft2_90%_42.jpg	1	0.9	941.01	944.745	944.019	1	1
945.027	4	Aircraft2_90%_44.jpg	1	0.9	945.027	948.759	947.369	1	1
949.04	4	Aircraft1_90%_10.jpg	0	0.9	949.04	952.773	950.829	0	0
953.04	4	Aircraft2_90%_25.jpg	1	0.9	953.04	956.775	955.431	1	1
957.045	4	rest.jpg	NaN	NaN	957.045	960.78	961.045	NaN	NaN
961.03	4	rest.jpg	NaN	NaN	961.03	964.762	965.03	NaN	NaN
965.012	4	rest.jpg	NaN	NaN	965.012	968.742	969.012	NaN	NaN
969.025	4	Aircraft1_70%_25.jpg	0	0.75	969.025	972.761	970.297	0	0
973.041	4	Aircraft2_70%_49.jpg	1	0.75	973.041	976.771	974.74	1	1
977.039	4	Aircraft2_70%_10.jpg	1	0.75	977.039	980.769	978.208	1	1
981.061	4	Aircraft2_70%_12.jpg	1	0.75	981.061	984.793	982.106	1	1
985.08	4	Aircraft2_70%_7.jpg	1	0.75	985.08	988.817	987.788	1	1
989.1	4	rest.jpg	NaN	NaN	989.1	992.832	993.1	NaN	NaN
993.092	4	rest.jpg	NaN	NaN	993.092	996.822	997.092	NaN	NaN
997.066	4	rest.jpg	NaN	NaN	997.066	1000.802	1001.066	NaN	NaN
